_id,orderID,food,quantity,price
643249be362c27c707fe264f,64316ada362c27c707fe20c6,64315e59362c27c707fe15e9,6,384
643249be362c27c707fe2650,64316ada362c27c707fe20c6,64315e59362c27c707fe1579,8,848
643249be362c27c707fe2651,64316ada362c27c707fe20c7,64315e59362c27c707fe157f,4,800
643249be362c27c707fe2652,64316ada362c27c707fe20c7,64315e59362c27c707fe1589,8,902
643249be362c27c707fe2653,64316ada362c27c707fe20c8,64315e59362c27c707fe15b9,6,510
643249be362c27c707fe2654,64316ada362c27c707fe20c8,64315e59362c27c707fe15af,2,538
643249be362c27c707fe2655,64316ada362c27c707fe20c8,64315e59362c27c707fe1593,9,439
643249be362c27c707fe2656,64316ada362c27c707fe20c8,64315e59362c27c707fe15a6,3,659
643249be362c27c707fe2657,64316ada362c27c707fe20c9,64315e59362c27c707fe15d1,10,146
643249be362c27c707fe2658,64316ada362c27c707fe20c9,64315e59362c27c707fe15e6,6,925
643249be362c27c707fe2659,64316ada362c27c707fe20ca,64315e59362c27c707fe1593,9,409
643249be362c27c707fe265a,64316ada362c27c707fe20ca,64315e59362c27c707fe159d,7,104
643249be362c27c707fe265b,64316ada362c27c707fe20ca,64315e59362c27c707fe15a8,5,231
643249be362c27c707fe265c,64316ada362c27c707fe20cb,64315e59362c27c707fe1577,6,137
643249be362c27c707fe265d,64316ada362c27c707fe20cb,64315e59362c27c707fe15c4,7,523
643249be362c27c707fe265e,64316ada362c27c707fe20cb,64315e59362c27c707fe15a0,10,201
643249be362c27c707fe265f,64316ada362c27c707fe20cb,64315e59362c27c707fe15d2,5,866
643249be362c27c707fe2660,64316ada362c27c707fe20cb,64315e59362c27c707fe15bc,4,917
643249be362c27c707fe2661,64316ada362c27c707fe20cc,64315e59362c27c707fe1591,6,890
643249be362c27c707fe2662,64316ada362c27c707fe20cc,64315e59362c27c707fe15ba,5,724
643249be362c27c707fe2663,64316ada362c27c707fe20cd,64315e59362c27c707fe1587,6,802
643249be362c27c707fe2664,64316ada362c27c707fe20cd,64315e59362c27c707fe1589,1,691
643249be362c27c707fe2665,64316ada362c27c707fe20cd,64315e59362c27c707fe15a8,1,588
643249be362c27c707fe2666,64316ada362c27c707fe20ce,64315e59362c27c707fe15d9,8,464
643249be362c27c707fe2667,64316ada362c27c707fe20ce,64315e59362c27c707fe157c,8,529
643249be362c27c707fe2668,64316ada362c27c707fe20cf,64315e59362c27c707fe15b8,1,761
643249be362c27c707fe2669,64316ada362c27c707fe20cf,64315e59362c27c707fe156c,4,116
643249be362c27c707fe266a,64316ada362c27c707fe20cf,64315e59362c27c707fe15cd,5,201
643249be362c27c707fe266b,64316ada362c27c707fe20d0,64315e59362c27c707fe15ad,7,480
643249be362c27c707fe266c,64316ada362c27c707fe20d0,64315e59362c27c707fe15e9,2,988
643249be362c27c707fe266d,64316ada362c27c707fe20d0,64315e59362c27c707fe157a,5,631
643249be362c27c707fe266e,64316ada362c27c707fe20d0,64315e59362c27c707fe15c5,10,710
643249be362c27c707fe266f,64316ada362c27c707fe20d1,64315e59362c27c707fe1594,9,622
643249be362c27c707fe2670,64316ada362c27c707fe20d1,64315e59362c27c707fe15de,5,448
643249be362c27c707fe2671,64316ada362c27c707fe20d1,64315e59362c27c707fe15c7,8,395
643249be362c27c707fe2672,64316ada362c27c707fe20d1,64315e59362c27c707fe159c,3,212
643249be362c27c707fe2673,64316ada362c27c707fe20d1,64315e59362c27c707fe15ad,4,427
643249be362c27c707fe2674,64316ada362c27c707fe20d2,64315e59362c27c707fe15bf,9,734
643249be362c27c707fe2675,64316ada362c27c707fe20d2,64315e59362c27c707fe1573,8,835
643249be362c27c707fe2676,64316ada362c27c707fe20d3,64315e59362c27c707fe15d7,9,819
643249be362c27c707fe2677,64316ada362c27c707fe20d3,64315e59362c27c707fe15d4,3,444
643249be362c27c707fe2678,64316ada362c27c707fe20d3,64315e59362c27c707fe15b8,4,984
643249be362c27c707fe2679,64316ada362c27c707fe20d3,64315e59362c27c707fe15da,1,812
643249be362c27c707fe267a,64316ada362c27c707fe20d3,64315e59362c27c707fe1589,10,403
643249be362c27c707fe267b,64316ada362c27c707fe20d4,64315e59362c27c707fe15db,9,306
643249be362c27c707fe267c,64316ada362c27c707fe20d4,64315e59362c27c707fe15dd,9,889
643249be362c27c707fe267d,64316ada362c27c707fe20d5,64315e59362c27c707fe15e0,4,114
643249be362c27c707fe267e,64316ada362c27c707fe20d6,64315e59362c27c707fe1570,5,493
643249be362c27c707fe267f,64316ada362c27c707fe20d6,64315e59362c27c707fe158b,10,623
643249be362c27c707fe2680,64316ada362c27c707fe20d6,64315e59362c27c707fe156e,4,192
643249be362c27c707fe2681,64316ada362c27c707fe20d7,64315e59362c27c707fe15af,3,310
643249be362c27c707fe2682,64316ada362c27c707fe20d7,64315e59362c27c707fe1593,1,917
643249be362c27c707fe2683,64316ada362c27c707fe20d7,64315e59362c27c707fe1587,1,825
643249be362c27c707fe2684,64316ada362c27c707fe20d8,64315e59362c27c707fe1576,7,209
643249be362c27c707fe2685,64316ada362c27c707fe20d9,64315e59362c27c707fe15d7,6,786
643249be362c27c707fe2686,64316ada362c27c707fe20d9,64315e59362c27c707fe15cf,8,973
643249be362c27c707fe2687,64316ada362c27c707fe20d9,64315e59362c27c707fe15ae,6,201
643249be362c27c707fe2688,64316ada362c27c707fe20d9,64315e59362c27c707fe1595,6,708
643249be362c27c707fe2689,64316ada362c27c707fe20da,64315e59362c27c707fe15c7,4,465
643249be362c27c707fe268a,64316ada362c27c707fe20da,64315e59362c27c707fe15c6,6,283
643249be362c27c707fe268b,64316ada362c27c707fe20da,64315e59362c27c707fe15c9,1,958
643249be362c27c707fe268c,64316ada362c27c707fe20db,64315e59362c27c707fe1586,4,336
643249be362c27c707fe268d,64316ada362c27c707fe20db,64315e59362c27c707fe158a,6,995
643249be362c27c707fe268e,64316ada362c27c707fe20db,64315e59362c27c707fe15c7,2,307
643249be362c27c707fe268f,64316ada362c27c707fe20db,64315e59362c27c707fe15dc,1,464
643249be362c27c707fe2690,64316ada362c27c707fe20db,64315e59362c27c707fe15d4,10,742
643249be362c27c707fe2691,64316ada362c27c707fe20dc,64315e59362c27c707fe1570,1,885
643249be362c27c707fe2692,64316ada362c27c707fe20dc,64315e59362c27c707fe15af,6,413
643249be362c27c707fe2693,64316ada362c27c707fe20dc,64315e59362c27c707fe15ab,8,933
643249be362c27c707fe2694,64316ada362c27c707fe20dc,64315e59362c27c707fe15c5,1,259
643249be362c27c707fe2695,64316ada362c27c707fe20dc,64315e59362c27c707fe1587,5,276
643249be362c27c707fe2696,64316ada362c27c707fe20dd,64315e59362c27c707fe158e,4,877
643249be362c27c707fe2697,64316ada362c27c707fe20dd,64315e59362c27c707fe1594,3,582
643249be362c27c707fe2698,64316ada362c27c707fe20dd,64315e59362c27c707fe15e3,8,139
643249be362c27c707fe2699,64316ada362c27c707fe20dd,64315e59362c27c707fe15d9,3,849
643249be362c27c707fe269a,64316ada362c27c707fe20de,64315e59362c27c707fe157c,7,168
643249be362c27c707fe269b,64316ada362c27c707fe20de,64315e59362c27c707fe15ea,3,662
643249be362c27c707fe269c,64316ada362c27c707fe20de,64315e59362c27c707fe1577,9,190
643249be362c27c707fe269d,64316ada362c27c707fe20de,64315e59362c27c707fe15b3,4,264
643249be362c27c707fe269e,64316ada362c27c707fe20df,64315e59362c27c707fe15d8,9,701
643249be362c27c707fe269f,64316ada362c27c707fe20df,64315e59362c27c707fe156e,5,804
643249be362c27c707fe26a0,64316ada362c27c707fe20df,64315e59362c27c707fe159d,2,249
643249be362c27c707fe26a1,64316ada362c27c707fe20e0,64315e59362c27c707fe1596,2,617
643249be362c27c707fe26a2,64316ada362c27c707fe20e1,64315e59362c27c707fe15b5,3,851
643249be362c27c707fe26a3,64316ada362c27c707fe20e1,64315e59362c27c707fe15a5,6,967
643249be362c27c707fe26a4,64316ada362c27c707fe20e1,64315e59362c27c707fe15bb,1,431
643249be362c27c707fe26a5,64316ada362c27c707fe20e1,64315e59362c27c707fe15bc,6,213
643249be362c27c707fe26a6,64316ada362c27c707fe20e1,64315e59362c27c707fe15c6,9,440
643249be362c27c707fe26a7,64316ada362c27c707fe20e2,64315e59362c27c707fe157f,1,483
643249be362c27c707fe26a8,64316ada362c27c707fe20e3,64315e59362c27c707fe15ea,2,552
643249be362c27c707fe26a9,64316ada362c27c707fe20e3,64315e59362c27c707fe15e0,9,933
643249be362c27c707fe26aa,64316ada362c27c707fe20e3,64315e59362c27c707fe15dc,9,779
643249be362c27c707fe26ab,64316ada362c27c707fe20e3,64315e59362c27c707fe15de,6,994
643249be362c27c707fe26ac,64316ada362c27c707fe20e4,64315e59362c27c707fe159c,8,375
643249be362c27c707fe26ad,64316ada362c27c707fe20e4,64315e59362c27c707fe15c4,2,423
643249be362c27c707fe26ae,64316ada362c27c707fe20e5,64315e59362c27c707fe15e3,5,255
643249be362c27c707fe26af,64316ada362c27c707fe20e5,64315e59362c27c707fe158f,1,253
643249be362c27c707fe26b0,64316ada362c27c707fe20e6,64315e59362c27c707fe1570,8,129
643249be362c27c707fe26b1,64316ada362c27c707fe20e6,64315e59362c27c707fe15da,10,533
643249be362c27c707fe26b2,64316ada362c27c707fe20e7,64315e59362c27c707fe15e3,1,495
643249be362c27c707fe26b3,64316ada362c27c707fe20e8,64315e59362c27c707fe1598,7,393
